Issuer Name,Industry,Debt to Equity,EBITDA Margin,Interest Coverage,Issue Size (₹Cr),DefaultFlag,Final Rating
MKC Infrastructure Ltd.,Civil Construction,0.33,0.00,7.13,154,No,BBB+
Kesoram Industries Ltd.,Cement & Cement Products,5.56,0.00,0.48,3442.88,No,BBB+
S J Contracts Pvt. Ltd.,Civil Construction,0.77,0.00,7.02,113.58,No,BBB+
Aparna Carbons Pvt. Ltd.,Coal,1.28,0.00,1.88,21.61,No,BBB+
Machino Polymers Ltd.,Auto Components & Equipments,0.58,0.00,3.67,145,No,BBB+
Kanodia Technoplast Ltd.,Packaging,1.74,0.00,2.28,102.74,No,BBB+
PRL Projects & Infrastructure Ltd,Civil Construction,1.08,0.00,3.37,99,No,BBB+
Soma Punjab Warehousing Pvt. Ltd.,Civil Construction,5.83,0.00,1.25,307.21,No,BBB+
Nila Infrastructures Ltd.,Civil Construction,0.97,0.00,2.95,136.22,No,BBB+
Shrenik Ltd. (erstwhile Shrenik Tradelinks Pvt. Ltd.),Paper & Paper Products,2.60,0.00,2.32,165,No,BBB+
Andhra Pradesh Power Generation Corporation Ltd.,Power Generation,4.97,0.00,1.14,4440,No,BBB+
Kerala State Electricity Board Ltd.,Integrated Power Utilities,-2.35,0.00,1.26,4200,No,BBB+
Jyoti CNC Automation Limited,Heavy Electrical Equipment,2.07,0.00,4.22,642,No,BBB+
Dozco (India) Pvt Ltd,Industrial Products,1.04,0.00,1.87,183.69,No,BBB+
Pratap Technocrats Pvt. Ltd.,Other Telecom Services,0.09,0.00,148.33,30,No,BBB+
Shiv Build India Pvt. Ltd.,Civil Construction,1.22,0.00,8.12,57,No,BBB+
Graphic Era Education Society,Education,0.71,0.00,4.53,325,No,BBB+
J M Mhatre Infra Pvt Ltd,Civil Construction,0.62,0.00,7.02,509,No,BBB+
Maan Steel & Power Ltd.,Sponge Iron,0.72,0.00,9.53,184.14,No,BBB+
PLR Projects Pvt. Ltd.,Civil Construction,0.71,0.00,3.64,540,No,BBB+
Pattabhi Agro Foods Pvt. Ltd.,Other Agricultural Products,2.91,0.00,1.72,387.13,No,BBB+
DD International Pvt. Ltd.,Other Agricultural Products,3.22,0.00,1.52,805,No,BBB+
Sravan Shipping Services Pvt. Ltd.,Logistics Solution Provider,1.56,0.00,8.26,104.84,No,BBB+
Centex International Pvt. Ltd.,Garments & Apparels,0.88,0.00,5.79,100,No,BBB+
MS Agarwal Foundries Pvt. Ltd.,Iron & Steel Products,1.28,0.00,2.42,173.58,No,BBB+
Krishna Tissues Pvt Ltd,Paper & Paper Products,3.50,0.00,1.65,468.45,No,BBB+
Sunil Kumar Agrawal,Civil Construction,0.35,0.00,21.88,42,No,BBB+
Manomay Tex India Ltd(Formerly Manomay Tex India Pvt Ltd),Other Textile Products,1.81,0.00,3.14,90,No,BBB+
The KTM Jewellery Ltd.,"Gems, Jewellery And Watches",0.96,0.00,6.64,68,No,BBB+
Sparsh Industries Private Limited,Packaging,1.11,0.00,8.67,806.61,No,BBB+
Braithwaite & Co Ltd,Railway Wagons,0.16,0.00,4.94,150,No,BBB+
North East Roofing Pvt. Ltd.,Cement & Cement Products,0.75,0.00,2.79,21.75,No,BBB+
SNJ Distillers Pvt. Ltd.,Breweries & Distilleries,0.71,0.00,4.60,160,No,BBB+
Dewas Waterprojects Works Pvt. Ltd.,Water Supply & Management,-1.10,0.00,-1.48,50,No,BBB+
PLR Projects Pvt. Ltd.,Civil Construction,1.37,0.00,3.55,540,No,BBB+
Signet Industries Ltd,Plastic Products - Industrial,1.26,0.00,3.21,391,No,BBB+
SMC Power Generation Ltd.,Iron & Steel Products,0.44,0.00,7.01,40,No,BBB+
Amir Chand Jagdish Kumar (Exports) Ltd,Other Agricultural Products,2.83,0.00,1.31,839,No,BBB+
Manikaran Power Ltd.,Power Trading,0.31,0.00,2.30,60,No,BBB+
TBEA Energy (India) Pvt Ltd,Heavy Electrical Equipment,1.19,0.00,0.98,1240,No,BBB+
Adesh Welfare Society,Education,0.95,0.00,3.60,110.56,No,BBB+
SRG Apparels Limited,Garments & Apparels,1.07,0.00,5.11,151.78,No,BBB+
NTC Logistics India Pvt. Ltd.,Logistics Solution Provider,1.94,0.00,3.27,213.42,No,BBB+
Infinity Infotech Parks Ltd.,Real Estate Investment Trusts (REITs),4.37,0.00,1.01,306.03,No,BBB+
Swift Cargo Pvt. Ltd.(erstwhile Swift Freight (India) Private Limited),Logistics Solution Provider,0.86,0.00,3.47,35,No,BBB+
Sakthi Auto Ancillary Pvt Ltd,Iron & Steel,0.77,0.00,4.60,30,No,BBB+
Moolchand Healthcare Pvt Ltd,Hospital,0.28,0.00,4.82,11.38,No,BBB+
Lohiya Edible Oils Pvt Ltd,Edible Oil,0.36,0.00,3.94,166,No,BBB+
Vision Sponge Iron Pvt. Ltd.,Iron & Steel,0.32,0.00,12.81,65,No,BBB+
Santosh Trust,Education,0.12,0.00,18.58,75,No,BBB+
Pushpit Steels Private Limited,Iron & Steel Products,1.62,0.00,2.28,180,No,BBB+
M.S. Khurana Engineering Ltd.,Civil Construction,0.80,0.00,3.14,335,No,BBB+
Nandan Denim Ltd.,Other Textile Products,1.06,0.00,2.44,667.82,No,BBB+
Ideal Industrial Explosives Limited,Explosives,1.21,0.00,3.84,130,No,BBB+
Windsor Industries Pvt. Ltd.,Packaging,0.36,0.00,47.16,11,No,BBB+
Narbheram Power and Steel Pvt. Ltd.,Iron & Steel Products,0.05,0.00,1.97,136,No,BBB+
Rajagiri Healthcare & Education Trust,Education,2.11,0.00,1.10,480.13,No,BBB+
Uttam Sucrotech International Pvt. Ltd.,Civil Construction,0.31,0.00,2.49,316,No,BBB+
Sree Murali Mohana Boiled and Raw Rice Mill Pvt. Ltd.,Other Agricultural Products,4.32,0.00,1.85,292,No,BBB+
PLR Projects Pvt. Ltd.,Civil Construction,0.71,0.00,3.64,540,No,BBB+
KMC Speciality Hospitals (India) Ltd.,Hospital,0.73,0.00,34.69,60,No,BBB+
Aroma Agrotech Pvt. Ltd.,Other Agricultural Products,2.18,0.00,2.41,136.8,No,BBB+
Shivalaya Nagpur Highways Pvt. Ltd.,Civil Construction,1.77,0.00,1.73,38.2,No,BBB+
Shivalaya Bhandara Highways Pvt. Ltd.,Civil Construction,1.81,0.00,1.18,35.66,No,BBB+
Keystone Infra Pvt. Ltd.,Civil Construction,1.16,0.00,2.82,306.5,No,BBB+
Gopaljee Dairy Foods Pvt. Ltd.,Dairy Products,2.76,0.00,2.84,281.07,No,BBB+
Barbrik Project Ltd.,Civil Construction,0.47,0.00,4.40,36,No,BBB+
Sree Murali Mohana Boiled and Raw Rice Mill Pvt. Ltd.,Other Agricultural Products,3.62,0.00,2.00,292,No,BBB+
Braithwaite & Co Ltd,Railway Wagons,0.25,0.00,10.37,250,No,BBB+
JTL Infra Limited,Industrial Products,0.95,0.00,4.29,47.5,No,BBB+
Hindustan Inox Ltd.,Iron & Steel,0.63,0.00,8.30,95,No,BBB+
Park Mediworld Pvt Ltd,Hospital,0.43,0.00,12.29,62,No,BBB+
Dozco (India) Pvt Ltd,Industrial Products,1.81,0.00,3.26,171.56,No,BBB+
Swati Menthol & Allied Chemicals Ltd,Commodity Chemicals,1.46,0.00,2.23,355,No,BBB+
RGS Healthcare Ltd.,Hospital,1.29,0.00,3.70,20,No,BBB+
Flowmore Ltd,"Compressors, Pumps & Diesel Engines",1.59,0.00,2.29,700,No,BBB+
P&C Projects Pvt. Ltd.,Civil Construction,0.62,0.00,3.56,450,No,BBB+
Charnock Hospitals Pvt. Ltd.,Hospital,7.11,0.00,2.39,61.66,No,BBB+
Lipi Data Systems Ltd.,Computers Hardware & Equipments,0.48,0.00,21.46,24.15,No,BBB+
ITI Limited,Telecom - Equipment & Accessories,35.61,0.00,-0.51,3854.34,No,BBB+
Growel Processors Pvt. Ltd.,Other Agricultural Products,0.94,0.00,7.63,72.54,No,BBB+
MKC Infrastructure Ltd.,Civil Construction,0.35,0.00,7.21,275,No,BBB+
Jyoti CNC Automation Limited,Heavy Electrical Equipment,1.29,0.00,1.20,655.14,No,BBB+
Forace Polymers Pvt. Ltd.,Commodity Chemicals,0.89,0.00,2.61,155,No,BBB+
Goel Ganga India Pvt. Ltd(Formerly known as Goel Ganga Developers (India) Pvt. Ltd),Real Estate Investment Trusts (REITs),2.38,0.00,1.31,500,No,BBB+
Miraj Products Pvt. Ltd.,Cigarettes & Tobacco Products,0.01,0.00,1734.92,10,No,BBB+
Premier Energies Ltd.(Formerly Known as Premier Solar Systems Pvt Ltd),Other Electrical Equipment,0.24,0.00,2.71,217.9,No,BBB+
Deccan Ferro Alloys Pvt. Ltd.,Aluminium,1.58,0.00,5.41,46.33,No,BBB+
PLR Projects Pvt. Ltd.,Civil Construction,0.65,0.00,3.77,600,No,BBB+
Premier Energies Ltd.(Formerly Known as Premier Solar Systems Pvt Ltd),Other Electrical Equipment,2.38,0.00,12.18,326,No,BBB+
Vishal Fashions Pvt. Ltd.,Garments & Apparels,3.99,0.00,5.76,82.5,No,BBB+
AL-Sameer Exports Pvt. Ltd.,Meat Products including Poultry,0.26,0.00,8.71,65.02,No,BBB+
Shivakriti International Ltd.,Civil Construction,1.34,0.00,4.44,166.8,No,BBB+
Shivalik Crop Sciences Pvt Ltd (erstwhile Shivalik Agro Chemicals),Pesticides & Agrochemicals,0.35,0.00,187.88,9,No,BBB+
Kerala State Electricity Board Ltd.,Integrated Power Utilities,-4.36,0.00,2.60,5068,No,BBB+
Jain Metal Rolling Mills,"Aluminium, Copper & Zinc Products",1.48,0.00,0.51,250,No,BBB+
Pattabhi Agro Foods Pvt. Ltd.,Other Agricultural Products,3.50,0.00,1.56,483.5,No,BBB+
Sravan Shipping Services Pvt. Ltd.,Logistics Solution Provider,1.58,0.00,7.49,110.96,No,BBB+
RGS Healthcare Ltd.,Hospital,2.54,0.00,6.58,90,No,BBB+
SVP Global Ventures Limited,Other Textile Products,5.50,0.00,1.62,67.84,No,BBB+
Tikaula Sugar Mills Ltd.,Sugar,2.27,0.00,3.59,134,No,BBB+
S.N. Milk Products Pvt. Ltd.,Dairy Products,1.94,0.00,2.78,86.51,No,BBB+
NTF (India) Pvt. Ltd.,Auto Components & Equipments,2.47,0.00,1.65,247.54,No,BBB+
Nila Infrastructures Ltd.,Civil Construction,1.76,0.00,6.15,136.22,No,BBB+
Siddhi Vinayak Knots & Prints Pvt. Ltd.,Other Textile Products,1.70,0.00,3.54,525.5,No,BBB+
Santosh Trust,Education,0.51,0.00,60.20,4.89,No,BBB+
Capricorn Logistics Pvt. Ltd.,Transport Related Services,0.83,0.00,2.47,50,No,BBB+
G.V. (God Vishnu) Rice Unit,Other Agricultural Products,2.29,0.00,2.45,85,No,BBB+
Tikaula Sugar Mills Ltd.,Sugar,2.27,0.00,3.59,526,No,BBB+
Trbex Impex Pvt. Ltd.,Iron & Steel,0.65,0.00,8.06,35,No,BBB+
DD International Pvt. Ltd.,Other Agricultural Products,3.87,0.00,4.30,433,No,BBB+
Epic Agro Products Pvt. Ltd.,Packaged Foods,0.01,0.00,68.09,10,No,BBB+
AMDD Foods Pvt. Ltd.,Other Agricultural Products,1.04,0.00,2.52,166.5,No,BBB+
V M Matere Infrastructures (India) Private Limited,Civil Construction,0.78,0.00,2.26,130.28,No,BBB+
Replika Press (P) Ltd.,Printing & Publication,0.78,0.00,5.18,60,No,BBB+
Centex International Pvt. Ltd.,Garments & Apparels,0.88,0.00,4.17,90.71,No,BBB+
G.V. (God Vishnu) Rice Unit,Other Agricultural Products,2.29,0.00,2.45,145,No,BBB+
KJV Alloy & Conductors Pvt. Ltd.,Aluminium,1.71,0.00,1.48,41.72,No,BBB+
Shiv Build India Pvt. Ltd.,Civil Construction,1.06,0.00,2.84,57,No,BBB+
Yashoda Hospital & Research Centre Ltd.,Hospital,0.16,0.00,16.56,35,No,BBB+
Metarolls Ispat Pvt Ltd(Formerly known as Meta Rolls & Commodities Pvt. Ltd),Iron & Steel Products,0.68,0.00,6.44,116.6,No,BBB+
Manish Packaging Pvt. Ltd.,Packaged Foods,0.04,0.00,124.87,46.24,No,BBB+
J M Mhatre Infra Pvt Ltd,Civil Construction,0.90,0.00,8.66,469,No,BBB+
The KTM Jewellery Ltd.,"Gems, Jewellery And Watches",0.80,0.00,2.70,68,No,BBB+
BSL Ltd.,Other Textile Products,2.07,0.00,1.72,229.12,No,BBB+
Vinir Engineering Pvt. Ltd.,Iron & Steel,0.11,0.00,31.27,19.8,No,BBB+
United Drilling Tools Ltd.,Engineering & Construction products,0.11,0.00,46.15,58.09,No,BBB+
Neolite ZKW Lightings Pvt. Ltd.,Consumer Electronics,1.87,0.00,3.25,75,No,BBB+
Shiv Build India Pvt. Ltd.,Civil Construction,1.06,0.00,2.84,69,No,BBB+
Prompt Enterprises Pvt. Ltd.,Industrial Products,2.68,0.00,2.24,293,No,BBB+
MS Agarwal Foundries Pvt. Ltd.,Iron & Steel Products,2.64,0.00,4.93,207.14,No,BBB+
Payal Polyplast Pvt Ltd,Petrochemicals,0.18,0.00,9.44,258.6,No,BBB+
GRM Overseas Ltd,Other Food Products,4.52,0.00,6.93,170,No,BBB+
Ghodawat Energy Pvt. Ltd.,Power Generation,0.15,0.00,1.24,50.48,No,BBB+
Hindprakash Chemicals Pvt. Ltd. (erstwhile Hindprakash Tradelink Pvt. Ltd.),Dyes And Pigments,0.38,0.00,2.65,128.41,No,BBB+
Ginni Filaments Ltd.,Other Textile Products,0.96,0.00,4.08,330,No,BBB+
Bhagyalaxmi Rolling Mill Pvt. Ltd.,Iron & Steel,1.97,0.00,3.14,325,No,BBB+
Montecarlo Limited,Civil Construction,0.50,0.00,9.53,1990,No,BBB+
Apeejay House Pvt. Ltd.,"Residential, Commercial Projects",2.62,0.00,0.77,97.75,No,BBB+
Apeejay Pvt. Ltd.,"Residential, Commercial Projects",1.14,0.00,1.84,70.5,No,BBB+
Shankar Packagings Ltd.,Packaging,0.99,0.00,7.26,151.67,No,BBB+
Graphic Era Education Society,Education,0.79,0.00,3.39,325,No,BBB+
Windsor Industries Pvt. Ltd.,Packaging,0.08,0.00,22.51,11.43,No,BBB+
North East Roofing Pvt. Ltd.,Cement & Cement Products,0.19,0.00,2.55,21.75,No,BBB+
PDP Steels Limited,Castings & Forgings,0.28,0.00,2.34,80.75,No,BBB+
Nandan Denim Ltd.,Other Textile Products,0.99,0.00,1.56,668,No,BBB+
Safeflex International Ltd,Packaging,0.48,0.00,15.23,53.02,No,BBB+
Swift Cargo Pvt. Ltd.(erstwhile Swift Freight (India) Private Limited),Logistics Solution Provider,0.21,0.00,11.40,35,No,BBB+
Bihar Foundry & Castings Ltd.,Sponge Iron,1.73,0.00,2.10,268.45,No,BBB+
MKS Constro Venture Pvt. Ltd.,Civil Construction,0.04,0.00,19.53,55,No,BBB+
Amir Chand Jagdish Kumar (Exports) Ltd,Other Agricultural Products,2.83,0.00,1.31,839,No,BBB+
KKP Spinning Mills Pvt Ltd,Other Textile Products,2.24,0.00,2.24,181,No,BBB+
Sheel Chand Agroils Pvt. Ltd,Edible Oil,1.18,0.00,1.91,175,No,BBB+
Sheel Oil And Fats (P) Ltd.,Edible Oil,1.60,0.00,2.93,303,No,BBB+
Eagle Infra India Limited,Civil Construction,0.95,0.00,4.06,835,No,BBB+
Rajagiri Healthcare & Education Trust,Education,2.58,0.00,1.45,445.8,No,BBB+
Sportking India Ltd,Other Textile Products,1.41,0.00,5.52,600,No,BBB+
Ideal Industrial Explosives Limited,Explosives,1.21,0.00,3.84,130,No,BBB+
NTC Logistics India Pvt. Ltd.,Logistics Solution Provider,3.49,0.00,3.59,212.86,No,BBB+
Shiv Shakti Inter Globe Exports Pvt. Ltd.,Other Agricultural Products,1.26,0.00,9.41,307.25,No,BBB+
A Infrastructure Ltd,Cement & Cement Products,1.23,0.00,2.22,92,No,BBB+
Exxaro Tiles Ltd. (erstwhile Exxaro Tiles Private Limited),Ceramics,1.13,0.00,2.35,95,No,BBB+
Badri Rai & Co.,Civil Construction,0.75,0.00,8.18,122.65,No,BBB+
Marwadi Education Foundation,Education,4.23,0.00,1.79,209.97,No,BBB+
ACME Solar Energy (MP) Pvt Ltd,Power Generation,2.40,0.00,1.88,157.68,No,BBB+
Pushpit Steels Private Limited,Iron & Steel Products,1.62,0.00,2.28,180,No,BBB+
A Infrastructure Limited,Cement & Cement Products,1.23,0.00,2.22,132,No,BBB+
RMN Infrastructures Limited,Civil Construction,0.34,0.00,3.81,155,No,BBB+
Sunvik Steels Pvt. Ltd.,Iron & Steel Products,0.88,0.00,7.83,90,No,BBB+
Arora Aromatics Pvt. Ltd.,Other Agricultural Products,0.18,0.00,13.83,142,No,BBB+
Signet Industries Ltd,Plastic Products - Industrial,1.56,0.00,1.35,378.66,No,BBB+
M M Castings Pvt. Ltd.,Industrial Products,1.18,0.00,5.74,34.18,No,BBB+
Montecarlo Limited,Civil Construction,0.17,0.00,6.29,1990,No,BBB+
TBEA Energy (India) Pvt Ltd,Heavy Electrical Equipment,2.05,0.00,0.49,1352.64,No,BBB+
NTF (India) Pvt. Ltd.,Auto Components & Equipments,2.68,0.00,1.58,229.61,No,BBB+
Signet Industries Ltd,Plastic Products - Industrial,1.56,0.00,1.35,378.66,No,BBB+
Sree Murali Mohana Boiled and Raw Rice Mill Pvt. Ltd.,Other Agricultural Products,3.10,0.00,1.18,292,No,BBB+
Moolchand Healthcare Pvt Ltd,Hospital,0.15,0.00,6.00,11.38,No,BBB+
PG Electroplast Limited,Consumer Electronics,1.78,0.00,5.40,314,No,BBB+
ST Electricals Pvt Ltd,Other Electrical Equipment,0.32,0.00,2.54,150,No,BBB+
Shriniwas Engineering Auto Components Pvt. Ltd.,Auto Components & Equipments,1.64,0.00,1.88,357.3,No,BBB+
KMC Speciality Hospitals (India) Ltd.,Hospital,0.46,0.00,19.93,97.4,No,BBB+
M.S. Khurana Engineering Ltd.,Civil Construction,0.14,0.00,6.73,335,No,BBB+
Vijayakrishna Spice Farms Pvt. Ltd.,Other Agricultural Products,1.57,0.00,3.93,110,No,BBB+
SMC Power Generation Ltd.,Iron & Steel Products,1.26,0.00,7.07,760,No,BBB+
Growel Processors Pvt. Ltd.,Other Agricultural Products,0.94,0.00,7.63,72.54,No,BBB+
Aroma Agrotech Pvt. Ltd.,Other Agricultural Products,1.68,0.00,4.50,175,No,BBB+
Growel Processors Pvt. Ltd.,Other Agricultural Products,0.92,0.00,8.68,91,No,BBB+
Garg Acrylics Ltd.,Other Textile Products,2.10,0.00,2.18,640,No,BBB+
Kingspan Jindal Pvt. Ltd.(Formerly known as Jindal Mectec Pvt. Ltd),"Furniture, Home Furnishing",0.02,0.00,4.32,96.61,No,BBB+
Aparna Carbons Pvt. Ltd.,Coal,0.47,0.00,7.13,25,No,BBB+
ITI Limited,Telecom - Equipment & Accessories,1.24,0.00,1.52,3854.34,No,BBB+
Goel International Pvt. Ltd.,Other Agricultural Products,1.20,0.00,7.05,442.45,No,BBB+
Santosh Trust,Education,0.09,0.00,29.88,4.5,No,BBB+
SMC Power Generation Ltd.,Iron & Steel Products,1.26,0.00,7.07,760,No,BBB+
Synergy Steels Ltd.,Iron & Steel Products,0.73,0.00,4.09,255.97,No,BBB+
Mahalaxmi Polypack Pvt. Ltd.,Other Industrial Products,1.10,0.00,4.63,90,No,BBB+
G.V. (God Vishnu) Rice Unit,Other Agricultural Products,2.50,0.00,2.36,170,No,BBB+
BramhaCorp Ltd.,"Residential, Commercial Projects",1.97,0.00,0.93,996.06,No,BBB+
Inderjit Mehta Constructions Pvt. Ltd,Civil Construction,0.43,0.00,3.99,240,No,BBB+
Charnock Hospitals Pvt. Ltd.,Hospital,2.88,0.00,1.42,61.66,No,BBB+
Infinity Infotech Parks Ltd.,Real Estate Investment Trusts (REITs),4.33,0.00,0.83,302.04,No,BBB+
Pondy Oxides and Chemicals Ltd.,Zinc,0.95,0.00,5.17,160.69,No,BBB+
AGI Infra Ltd.,Civil Construction,0.57,0.00,3.04,113,No,BBB+
Kisan Irrigations and Infrastructure Ltd.,Plastic Products - Industrial,0.62,0.00,3.77,109.6,No,BBB+
PLR Projects Pvt. Ltd.,Civil Construction,1.90,0.00,14.52,647.41,No,BBB+
Bhagwati Lacto Vegetarian Exports Pvt. Ltd.,Other Agricultural Products,2.17,0.00,1.68,392,No,BBB+
ITI Limited,Telecom - Equipment & Accessories,1.24,0.00,1.52,4469.68,No,BBB+
Rustam Foods Pvt. Ltd.,Meat Products including Poultry,1.75,0.00,5.30,231.48,No,BBB+
Maan Aluminium Limited,"Aluminium, Copper & Zinc Products",1.14,0.00,6.31,74.55,No,BBB+
Sheel Chand Agroils Pvt. Ltd,Edible Oil,1.18,0.00,1.91,175,No,BBB+
Sheel Oil And Fats (P) Ltd.,Edible Oil,1.60,0.00,2.93,291.56,No,BBB+
Prompt Enterprises Pvt. Ltd.,Industrial Products,2.40,0.00,3.21,413,No,BBB+
Farmgate Agro Milch Pvt Ltd,Dairy Products,1.39,0.00,2.84,140.77,No,BBB+
Swati Menthol & Allied Chemicals Ltd,Commodity Chemicals,1.47,0.00,1.83,348.25,No,BBB+
T.C. Spinners Pvt. Ltd.,Other Textile Products,3.31,0.00,3.65,188,No,BBB+
KJV Alloy & Conductors Pvt. Ltd.,Aluminium,1.06,0.00,1.93,41.72,No,BBB+
Shivakriti International Ltd.,Civil Construction,0.83,0.00,4.92,160,No,BBB+
Sravan Shipping Services Pvt. Ltd.,Logistics Solution Provider,0.88,0.00,2.50,125,No,BBB+
Adesh Welfare Society,Education,1.06,0.00,3.67,131.91,No,BBB+
Kalyan Infratech Private Limited,Civil Construction,4.01,0.00,1.63,23,No,BBB+
Nila Infrastructures Ltd.,Civil Construction,0.74,0.00,0.51,205.71,No,BBB+
Prince Gold And Diamonds India Pvt.Ltd.,"Gems, Jewellery And Watches",1.75,0.00,1.63,235,No,BBB+
Deepak International Ltd,"Aluminium, Copper & Zinc Products",0.29,0.00,4.27,61.71,No,BBB+
Runwal Developers Pvt Ltd,"Residential, Commercial Projects",0.51,0.00,2.94,21.45,No,BBB+
Jyoti CNC Automation Limited,Heavy Electrical Equipment,1.52,0.00,1.69,699.27,No,BBB+
V M Matere Infrastructures (India) Private Limited,Civil Construction,0.78,0.00,2.26,130.28,No,BBB+
Avi Agri Business Limited,Edible Oil,1.23,0.00,3.74,175.85,No,BBB+
MS Agarwal Foundries Pvt. Ltd.,Iron & Steel Products,3.28,0.00,6.19,272.31,No,BBB+
A-One Steel and Alloys Pvt. Ltd.,Iron & Steel Products,2.57,0.00,12.11,172.91,No,BBB+
Bluecraft Agro Pvt. Ltd.,Other Agricultural Products,5.80,0.00,2.99,165,No,BBB+
Moolchand Healthcare Pvt Ltd,Hospital,0.18,0.00,13.30,10,No,BBB+
Pattabhi Agro Foods Pvt. Ltd.,Other Agricultural Products,2.98,0.00,2.04,604.27,No,BBB+
Maruti Papers Ltd,Paper & Paper Products,1.99,0.00,3.91,87.03,No,BBB+
Lloyds Metals and Energy Ltd,Sponge Iron,0.32,0.00,16.06,100,No,BBB+
SMC Power Generation Ltd.,Iron & Steel Products,1.73,0.00,3.75,975,No,BBB+
Esteem Industries Pvt Ltd.,Commodity Chemicals,1.46,0.00,4.51,112.4,No,BBB+
Yashoda Hospital & Research Centre Ltd.,Hospital,0.10,0.00,19.02,17,No,BBB+
Nandan Denim Ltd.,Other Textile Products,0.99,0.00,1.56,668,No,BBB+
Shiv Build India Pvt. Ltd.,Civil Construction,1.05,0.00,2.43,89.6,No,BBB+
Patodia Filaments Pvt. Ltd.,Other Textile Products,0.70,0.00,4.36,137,No,BBB+
Vineet Polyfab Pvt. Ltd.,Other Textile Products,1.10,0.00,7.30,81.5,No,BBB+
Trigent Software Pvt. Ltd. (erstwhile Trigent Software Ltd),IT Enabled Services,0.03,0.00,165.33,11.9,No,BBB+
Hindprakash Chemicals Pvt. Ltd. (erstwhile Hindprakash Tradelink Pvt. Ltd.),Dyes And Pigments,1.05,0.00,2.30,169.82,No,BBB+
Avantel Ltd.,Telecom - Equipment & Accessories,0.15,0.00,18.37,52,No,BBB+
Garg Acrylics Ltd.,Other Textile Products,1.00,0.00,7.39,640,No,BBB+
BSL Ltd.,Other Textile Products,2.12,0.00,2.87,357.26,No,BBB+
KMC Speciality Hospitals (India) Ltd.,Hospital,0.31,0.00,38.19,100.25,No,BBB+
Sparsh Industries Private Limited,Packaging,1.31,0.00,11.33,1000,No,BBB+
UV Asset Reconstruction Company Ltd.,Asset Management Company,1.15,0.00,2.12,150,No,BBB+
Thapar Institute of Engineering & Technology,Education,0.27,0.00,1.46,136,No,BBB+
Growel Processors Pvt. Ltd.,Other Agricultural Products,0.56,0.00,2.57,80.94,No,BBB+
KJV Alloy & Conductors Pvt. Ltd.,Aluminium,1.18,0.00,2.79,41.72,No,BBB+
Farmgate Agro Milch Pvt Ltd,Dairy Products,1.28,0.00,2.77,140.77,No,BBB+
Telangana State Power Generation Corporation Ltd,Power Generation,6.04,0.00,1.55,4500,No,BBB+
Charnock Hospitals Pvt. Ltd.,Hospital,1.66,0.00,3.10,56.73,No,BBB+
Adesh Welfare Society,Education,0.63,0.00,5.29,131.95,No,BBB+
Nandan Denim Ltd.,Other Textile Products,0.99,0.00,1.56,668,No,BBB+
RKC Infrabuilt (Mehsana-Himatnagar) Road Project Pvt. Ltd.,Civil Construction,4.85,0.00,4.22,105,No,BBB+
AMPL Cleantech Pvt. Ltd.,Diversified,36.05,0.00,3.15,281.8,No,BBB+
Raj Infra NSK 60 LLP.,Civil Construction,2.15,0.00,1.31,44.4,No,BBB+
Inderdeep Construction Company,Civil Construction,1.41,0.00,6.13,100,No,BBB+
AG Construction,Civil Construction,0.36,0.00,4.11,150,No,BBB+
RMN Infrastructures Limited,Civil Construction,0.51,0.00,5.95,155,No,BBB+
MKC Infrastructure Ltd.,Civil Construction,0.46,0.00,6.52,275,No,BBB+
Adesh Welfare Society,Education,0.83,0.00,3.55,131.95,No,BBB+
Apeejay Pvt. Ltd.,"Residential, Commercial Projects",1.10,0.00,1.16,67.39,No,BBB+
Apeejay House Pvt. Ltd.,"Residential, Commercial Projects",2.17,0.00,0.66,96.45,No,BBB+
Raigarh Energy Generation Ltd.,Electric Utilities,19.94,0.00,1.54,1500,No,BBB+
Stelmec Limited,Other Electrical Equipment,0.55,0.00,1.92,339,No,BBB+
KKP Spinning Mills Pvt Ltd,Other Textile Products,2.19,0.00,2.75,178.61,No,BBB+
DPJ Bidar Chincholi (Annuity) Road Project Pvt Ltd,Civil Construction,3.09,0.00,0.91,180,No,BBB+
The KTM Jewellery Ltd.,"Gems, Jewellery And Watches",1.82,0.00,2.82,68,No,BBB+
Foods And Inns Ltd.,Other Food Products,2.32,0.00,5.22,172.3,No,BBB+
RKC Infrabuilt (Mehsana-Himatnagar) Road Project Pvt. Ltd.,Civil Construction,4.45,0.00,4.83,105,No,BBB+
RKC Infrabuilt (Tarapur-Vasad) Road Project Pvt. Ltd.,Civil Construction,18.49,0.00,4.94,528,No,BBB+
Usha Yarns Ltd.,Other Textile Products,0.49,0.00,15.01,82.09,No,BBB+
AMDD Foods Pvt. Ltd.,Other Agricultural Products,1.39,0.00,3.89,195,No,BBB+
Anil Neerukonda Educational Society,Education,1.91,0.00,4.11,124,No,BBB+
AMPL Cleantech Pvt. Ltd.,Diversified,28.92,0.00,3.30,281.8,No,BBB+
RKC Infrabuilt (Mehsana-Himatnagar) Road Project Pvt. Ltd.,Civil Construction,4.45,0.00,4.83,105,No,BBB+
RKC Infrabuilt (Tarapur-Vasad) Road Project Pvt. Ltd.,Civil Construction,18.49,0.00,4.94,528,No,BBB+
Signet Industries Ltd,Plastic Products - Industrial,1.57,0.00,1.44,378.66,No,BBB+
